name,1,2,3,4,5,6,7,8,9,10
02. Deutschland.mp3,0.014392795754506296,1.7247933470485709e-06,0.0032286331424056748,0.10328304649399037,0.08000157378205466,0.1994646123190161,0.5031954005024726,0.0002000395299770764,0.004841060041931465,0.0913911136402988
04. Radio.mp3,0.0062189991121019954,0.0008048663519785075,0.0030298595377056927,0.08135997266038297,0.6333444758323437,0.1138697489094949,0.0741011473061791,0.0024018343855854167,0.048392988995206845,0.036476106909021026
07. ПУСТОТА (PROD. BY LOSTSVUND).mp3,0.0736316331321279,0.008322712388456454,0.22957183619133786,0.07511744831960918,0.28154590175888483,0.19754629802303691,0.0016367787831283777,0.014652256609809972,0.03943073905293541,0.07854439574067283
11. Diamant.mp3,0.4278044536337486,0.0024016637506214227,0.4770552667910257,0.002796579417637878,0.0024090614407959376,0.021605754897038733,0.001600261742763206,0.0010050139530863218,0.02001204781223672,0.04330989656104557
Bamboo ft. Elior x Living Room.mp3,0.02883374838174075,0.08109028635267665,0.05979740260352571,0.010127420105706159,0.023233948136296267,0.3295695029163389,0.0010021914725900187,0.0202443402402094,0.36960944387715927,0.07649171591375745
GONE.Fludd - BOYS DON T CRY.mp3,0.021781133067369667,0.0018310875330729663,0.06691442445908452,0.1925685429218344,0.09356227662062433,0.02129575722791594,0.0030185987190977774,0.00740814207153786,0.4129647355289334,0.17865530185052875
GONE.Fludd - Dream Garden.mp3,0.215997194182921,0.5034585493132566,0.025383111324671748,0.021714412935858247,0.008368117166785309,0.10226633659885213,0.0016000165836280295,0.0070213738201298555,0.0662374362602327,0.047953451813664116
GONE.Fludd - ЗЕРКАЛА.mp3,0.014969134253170502,0.032521511944679164,0.03280856699024189,0.19255795175815105,0.36107573157244915,0.034331230381606195,0.004053832029789842,0.007431915986644377,0.07913516489596062,0.2411149601873071
GONE.Fludd - КУБИК ЛЬДА.mp3,0.06962355802201459,0.002991037531287022,0.016542968673592107,0.338439340775348,0.16672528167651599,0.009346641894228305,0.009822697603439574,0.011421380582769177,0.24810739055782807,0.12697970268297695
hanging gardens.mp3,0.2725722967712322,0.177661256747613,0.3207087097521931,0.004808422935685026,0.04170191326958693,0.12561141810827803,0.00020768523370197145,0.005166415861401184,0.04429092383674961,0.007270957483558721
Homage ft. Sátyr x Akīn.mp3,0.2462834122951249,0.06922105008269393,0.4225327667106796,0.0036775567218696415,0.0014736493578402432,0.2346971210833429,9.715023861469087e-08,0.002455785327313505,0.00864716356210156,0.01101139770879533
Playgrounds ft. mell-ø x Akīn.mp3,0.11578623645933764,0.31209571960218063,0.42258641777589145,0.0038274634354045537,0.0004910367084986994,0.1268517279670664,8.126834767474551e-09,0.0014080421140361672,0.007232220997857741,0.009721126812891837
Infused,0.03142917574879584,0.4336545257782921,0.03733698440409633,0.04979837236368769,0.0015451554269731277,0.42515899128131196,9.60594568006387e-09,0.0034695789307244373,0.010491682885821167,0.007115523574351345
"ГО (Красный альбом) - 08 Мама, Мама.mp3",0.006535120157498272,0.0024007348456010534,0.07928689201328895,0.17144793987322618,0.4396396621225736,0.016352685213791508,0.1435270119852245,0.046125556841791954,0.06504247810194694,0.02964191884505669
ГО (печенье) - 01 печенье.mp3,0.002409090919417741,0.0006001057949167806,0.10361976655530798,0.13226885015567463,0.3247040118524433,0.0012513042181144336,0.27518295322738073,0.0126440497849438,0.13193795001236333,0.015381917479436963
ГО_Игра_в_бисер_07.mp3,0.04562500204613272,0.0014068222796765138,0.08530173578361205,0.03203658533558038,0.06008626377414359,0.009735876276461193,0.016024116116987723,0.002200000040979647,0.08759627918773054,0.6599873191586958
ГО_Красный_альбом_01_Игра_В_Бисер.mp3,0.017669915774408306,0.0014000706142518987,0.08826032243057955,0.08895770198318463,0.5018717028475128,0.005457136087949742,0.20288487237539304,0.03684990729075396,0.039959606724557464,0.016688763871408004
ГО_Красный_альбом_06_Детский_Мир.mp3,0.017482001606635603,0.0010000074637898854,0.011101128283684904,0.08605490601722246,0.532408841969828,0.0038088358061531017,0.2859189446047732,0.02043429094593344,0.028057405544037232,0.013733637757941577
"Последний день   Монеточка.mp3",0.024683925889001316,0.0898407234055898,0.039056401950022926,0.013004118163148892,0.002457288362700511,0.7917026709880364,0.0010000810203363338,0.005834944857586387,0.01549799755373874,0.01692184780983893
монеточка - гори гори гори.mp3,0.02362229397025705,0.04526068475999911,0.09284105939872432,0.01516901774987548,0.006623705681286637,0.6707268197137195,0.0022009052515834767,0.048015440376498374,0.07477717532279902,0.020762897775257742
Вопрос   Монеточка.mp3,0.21725435220993253,0.05271628801251439,0.2280532650445029,0.007325662911246665,0.003834748589902457,0.3699726138460466,0.031036735440529123,0.002002222010483651,0.05893605802253856,0.028868053912302506
